year,origin,amount
1991,PHF,1022
1991,DTW,119649
1991,DCA,83117
1991,LAS,91970
1991,LGA,102260
1991,GSP,8092
1991,ATL,188408
1991,CMH,27414
1991,FAY,2612
1991,SAV,8725
1991,MHT,5283
1991,GRR,10327
1991,ERI,1804
1991,BGM,1899
1991,BDL,28920
1991,IAD,49695
1991,TRI,3414
1991,BHM,16104
1991,GNV,1917
1991,RIC,14888
1991,SDF,18776
1991,MLB,4879
1991,DEN,137302
1991,IAH,88500
1991,JAX,19042
1991,ROA,3580
1991,CHO,1206
1991,ORH,1696
1991,HTS,1579
1991,ILM,2504
1991,JFK,42235
1991,CAK,3076
1991,PDX,37742
1991,SEA,76729
1991,RDU,55974
1991,MIA,73124
1991,ROC,21495
1991,PVD,15806
1991,AUS,29519
1991,DFW,243221
1991,ABE,6178
1991,MKE,22094
1991,BTV,6150
1991,UCA,1008
1991,CAE,8503
1991,ALB,12368
1991,FWA,3276
1991,SNA,29286
1991,MEM,55896
1991,EVV,1808
1991,TYS,8787
1991,ELM,1429
1991,ITH,1077
1991,OAJ,1024
1991,TOL,2809
1991,RSW,19300
1991,PHX,137343
1991,DAB,5787
1991,SAT,35005
1991,ABQ,30334
1991,TUS,18514
1991,LIT,15656
1991,SJC,42760
1991,AVL,3054
1991,BUR,25528
1991,CMI,1080
1991,FNT,1076
1991,MSP,106515
1991,MSY,40479
1991,EYW,349
1991,BLI,1015
1991,OAK,40122
1991,ONT,38606
1991,AGS,3390
1991,PNS,7734
1991,SJU,18424
1991,SRQ,13110
1991,ISO,685
1991,LAN,2797
1991,AZO,3132
1991,SBN,2429
1991,CHA,3909
1991,SWF,4546
1991,CCR,214
1991,FAT,5108
1991,DAL,39166
1991,HOU,56509
1991,AMA,5890
1991,ELP,26394
1991,HRL,6065
1991,TUL,24977
1991,CRP,6890
1991,LBB,8810
1991,OKC,24664
1991,MAF,7184
1991,DET,5180
1991,DLH,1745
1991,GFK,1367
1991,FAR,2604
1991,FSD,5979
1991,MOT,1761
1991,OMA,17501
1991,GEG,8178
1991,SLC,68017
1991,RST,2915
1991,CID,5003
1991,HPN,2833
1991,DSM,11496
1991,BIS,3160
1991,GTF,3203
1991,MSO,2503
1991,SHV,5902
1991,BTR,8254
1991,JAN,7664
1991,HSV,7624
1991,TVC,680
1991,BIL,4922
1991,BZN,3916
1991,MSN,5702
1991,LSE,1236
1991,RAP,2505
1991,GRB,3050
1991,MBS,3462
1991,GPT,726
1991,HDN,691
1991,VPS,1076
1991,MOB,7884
1991,HNL,16887
1991,STT,2782
1991,STX,2938
1991,COS,12003
1991,MLI,3240
1991,PSP,6689
1991,PUB,1453
1991,LNK,3049
1991,SGF,1495
1991,PIA,944
1991,SUX,1496
1991,KOA,705
1991,OGG,2954
1991,ANC,15135
1991,SBA,4216
1991,LIH,354
1991,LGB,10354
1991,EUG,2759
1991,BOI,5911
1991,BGR,2835
1991,MFR,1322
1991,MRY,1185
1991,FAI,3527
1991,HLN,1075
1991,IDA,1432
1991,CSG,1014
1991,MLU,2491
1991,MGM,2522
1991,JAC,1872
1991,CPR,1075
1991,BTM,715
1991,FCA,835
1991,GUC,219
1991,PSC,1083
1991,JNU,3866
1991,PMD,710
1991,DRO,910
1991,GJT,1257
1991,BFL,1541
1991,GCN,1018
1991,YUM,1602
1991,FLG,2242
1991,EGE,332
1991,TVL,257
1991,MFE,2764
1991,BET,593
1991,OME,1008
1991,OTZ,926
1991,SCC,658
1991,KTN,2304
1991,CDV,712
1991,YAK,682
1991,SIT,1433
1991,PSG,699
1991,WRG,698
1991,GUM,3593
1991,SPN,2174
1991,LFT,1108
1991,ROR,360
1991,ROP,1001
1991,EFD,254
1991,PFN,803
1991,HVN,851
1991,GST,81
1991,TTN,154
1991,BQN,13
1991,SPI,28
1992,CMH,37794
1992,EWR,115895
1992,IND,43620
1992,LAX,155639
1992,ATL,203087
1992,CLT,123343
1992,GNV,2667
1992,AVP,2264
1992,BWI,50817
1992,PIT,133995
1992,MDT,8871
1992,ROC,21067
1992,DCA,85960
1992,SAN,61251
1992,BUF,25094
1992,MCO,89340
1992,MIA,69628
1992,ALB,14294
1992,RSW,18955
1992,TPA,53771
1992,CLE,56491
1992,LGA,104217
1992,PHL,89564
1992,RDU,56621
1992,BGM,1495
1992,MCI,49262
1992,DSM,10473
1992,STL,123651
1992,DAY,17069
1992,LAN,2688
1992,RIC,15677
1992,MSP,115258
1992,DFW,253247
1992,SMF,29931
1992,PHX,136403
1992,TUS,17714
1992,JAX,18738
1992,SBN,3360
1992,AUS,29347
1992,IAH,94555
1992,DTW,124265
1992,FLL,32498
1992,BTV,5175
1992,CHS,9158
1992,PBI,25832
1992,BOS,93521
1992,ORD,275185
1992,SYR,20474
1992,CRW,2566
1992,HTS,1251
1992,JFK,42454
1992,ITH,1087
1992,OMA,15654
1992,ABE,7428
1992,BNA,64146
1992,MEM,51169
1992,RNO,18420
1992,MHT,4782
1992,LAS,86201
1992,SDF,16627
1992,ORF,19495
1992,GSP,6769
1992,GRR,9874
1992,ERI,1565
1992,GSO,16426
1992,ORH,1903
1992,ELM,1385
1992,TRI,2707
1992,TYS,8681
1992,PVD,15690
1992,MSY,40100
1992,AZO,2974
1992,CAK,2749
1992,SEA,75803
1992,PHF,1020
1992,SFO,122477
1992,IAD,41886
1992,ICT,11337
1992,BDL,28730
1992,MOB,7804
1992,TLH,7276
1992,TTN,674
1992,AVL,2657
1992,EVV,1264
1992,SWF,4263
1992,SRQ,11339
1992,SAT,33544
1992,ROA,3101
1992,PWM,7639
1992,FWA,3131
1992,MSN,7777
1992,MYR,2318
1992,CMI,607
1992,LEX,5311
1992,MLB,4784
1992,DAB,6418
1992,PNS,8686
1992,MKE,23336
1992,HSV,8044
1992,ABQ,31744
1992,FNT,869
1992,CHO,378
1992,CAE,7374
1992,MDW,29000
1992,TOL,2464
1992,FAY,2654
1992,DEN,147758
1992,BHM,15745
1992,ISP,4323
1992,CVG,70856
1992,ACY,763
1992,ILM,2071
1992,UCA,315
1992,SAV,7905
1992,LIT,16370
1992,OAJ,1024
1992,CHA,3770
1992,AGS,3640
1992,SJU,19611
1992,ISO,288
1992,MGM,3141
1992,DAL,41031
1992,HOU,57252
1992,AMA,5927
1992,HRL,6192
1992,ELP,26075
1992,TUL,25684
1992,CRP,7298
1992,LBB,8989
1992,OKC,24789
1992,MAF,6960
1992,ONT,37281
1992,BUR,23247
1992,DET,3626
1992,OAK,36640
1992,GRB,3066
1992,PDX,37365
1992,BIS,2846
1992,DLH,1860
1992,GEG,8502
1992,LSE,1313
1992,MBS,3279
1992,CID,5277
1992,GFK,1403
1992,FAR,3260
1992,MOT,1768
1992,TVC,675
1992,RST,3047
1992,BIL,5228
1992,BZN,3946
1992,SLC,68521
1992,RAP,2620
1992,HPN,4131
1992,FSD,6556
1992,GTF,3070
1992,MSO,2384
1992,VPS,1081
1992,ANC,16562
1992,HNL,15412
